commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
c52421c27184696ad7a86aa81191ba6d6734cff9,rapidcsv,1,1,fetchFromGitHub,362791944032cb532aabbeed7887a441496d5e6e
32277fd18674bd9b9abd7add10ba3c19ad9548a5,ete-unwrapped,1,1,fetchFromGitHub,d7f52a7a640bc54c7bb414cca603835bf8dd4b10
6079ac3b0f42dfc91014803e1aa7303b6f7afbb6,python-path,1,1,fetchPypi,870493f9a8cb0b074ae5b411b2f232015db19a65
26d0328abbdd414202c0c76337c10a4dca638258,live-chart,1,1,fetchFromGitHub,bce5fe2bb998488d8e7e7856315f90496723793c
751be5e78052a47fc4bcf2e9201916bca7b0c9f1,tt-system-tools,1,1,fetchFromGitHub,0b96957fb614f693d0cee1bd65fbfc0e610df47f
a12a0bbab054ef8c2f8d11bf8394777202159ec7,swagger-ui-py,1,1,fetchFromGitHub,870493f9a8cb0b074ae5b411b2f232015db19a65
dcbdd66331ba18e0354183ef8df554ee3ed819d0,price-parser,1,1,fetchFromGitHub,ee4cd98afba682ca27242f2d7fdbd8583f6ef51a
f5ec4b277fd5f86bfcbcd91b47cce013e2f0bcf6,panzi-json-logic,1,1,fetchFromGitHub,ee4cd98afba682ca27242f2d7fdbd8583f6ef51a
8537a9ae4965d1c79e100b214fb2d7b0785d2b85,hledger-fmt,1,1,fetchFromGitHub,d7f52a7a640bc54c7bb414cca603835bf8dd4b10
bf2b7d4ddb2feb1a0ed63a65073b78dace5000dc,jiratui,1,1,fetchFromGitHub,2dad7af78a183b6c486702c18af8a9544f298377
f655c05f894f7766f230ce46c2cb67b899865ac8,tsidp,1,1,fetchFromGitHub,e2642aa7d5a15eae586932a56f4294934f959c14
7869bf20c75e2e102376554c0930b91671939f75,smtp-user-enum,1,1,fetchFromGitHub,fb5cf53218b987f2703a5bbc292a030c0fe33443
cb8aa61a2b60574f091d5a703f0571fa14fa6391,trio-typing,1,1,fetchFromGitHub,fb5cf53218b987f2703a5bbc292a030c0fe33443
